# ====================================
# NWChem linear response TDDFT parser 
# ====================================
#
# Date NWChem run : Tue Nov 16 13:50:39 2010
# NWChem branch   : 6.0
# Input deck      : 2h2o.nw
#
# Linear response TDDFT spectrum.
# Roots were artificially broadened by 1.00000e-01 eV.
#
#  Energy [eV]      Oscil. str.
#----------------------------------
 8.20046068e+00    3.83024343e-04
 8.21576319e+00    4.57266574e-04
 8.23106570e+00    5.55188609e-04
 8.24636820e+00    6.87223156e-04
 8.26167071e+00    8.69387715e-04
 8.27697322e+00    1.12611787e-03
 8.29227573e+00    1.49267264e-03
 8.30757824e+00    2.01014775e-03
 8.32288074e+00    2.68857867e-03
 8.33818325e+00    3.39630463e-03
 8.35348576e+00    3.76486399e-03
 8.36878827e+00    3.50466832e-03
 8.38409078e+00    2.84041033e-03
 8.39939328e+00    2.16504635e-03
 8.41469579e+00    1.64743802e-03
 8.42999830e+00    1.29248462e-03
 8.44530081e+00    1.06350389e-03
 8.46060332e+00    9.28713201e-04
 8.47590582e+00    8.69677652e-04
 8.49120833e+00    8.79493976e-04
 8.50651084e+00    9.56070276e-04
 8.52181335e+00    1.08287240e-03
 8.53711586e+00    1.19272746e-03
 8.55241836e+00    1.17798295e-03
 8.56772087e+00    1.01838684e-03
 8.58302338e+00    8.09275828e-04
 8.59832589e+00    6.27876805e-04
 8.61362840e+00    4.92260941e-04
 8.62893090e+00    3.94890927e-04
 8.64423341e+00    3.24743221e-04
 8.65953592e+00    2.73229636e-04
 8.67483843e+00    2.34510598e-04
 8.69014094e+00    2.04740193e-04
 8.70544344e+00    1.81376652e-04
 8.72074595e+00    1.62711750e-04
 8.73604846e+00    1.47572779e-04
 8.75135097e+00    1.35136719e-04
 8.76665348e+00    1.24813625e-04
 8.78195598e+00    1.16172286e-04
 8.79725849e+00    1.08891941e-04
 8.81256100e+00    1.02730284e-04
 8.82786351e+00    9.75018417e-05
 8.84316602e+00    9.30631106e-05
 8.85846852e+00    8.93021541e-05
 8.87377103e+00    8.61312265e-05
 8.88907354e+00    8.34814796e-05
 8.90437605e+00    8.12991360e-05
 8.91967856e+00    7.95427170e-05
 8.93498106e+00    7.81810492e-05
 8.95028357e+00    7.71918635e-05
 8.96558608e+00    7.65608646e-05
 8.98088859e+00    7.62811913e-05
 8.99619110e+00    7.63532274e-05
 9.01149360e+00    7.67847475e-05
 9.02679611e+00    7.75914122e-05
 9.04209862e+00    7.87976563e-05
 9.05740113e+00    8.04380457e-05
 9.07270364e+00    8.25592256e-05
 9.08800614e+00    8.52226424e-05
 9.10330865e+00    8.85083060e-05
 9.11861116e+00    9.25199918e-05
 9.13391367e+00    9.73924656e-05
 9.14921618e+00    1.03301614e-04
 9.16451868e+00    1.10478817e-04
 9.17982119e+00    1.19231628e-04
 9.19512370e+00    1.29973996e-04
 9.21042621e+00    1.43271217e-04
 9.22572872e+00    1.59908012e-04
 9.24103122e+00    1.80993599e-04
 9.25633373e+00    2.08126896e-04
 9.27163624e+00    2.43660453e-04
 9.28693875e+00    2.91126090e-04
 9.30224126e+00    3.55916642e-04
 9.31754376e+00    4.46326399e-04
 9.33284627e+00    5.74878807e-04
 9.34814878e+00    7.58856978e-04
 9.36345129e+00    1.01497420e-03
 9.37875380e+00    1.33316625e-03
 9.39405630e+00    1.61735699e-03
 9.40935881e+00    1.68563728e-03
 9.42466132e+00    1.48035945e-03
 9.43996383e+00    1.15921789e-03
 9.45526634e+00    8.70120474e-04
 9.47056884e+00    6.54798581e-04
 9.48587135e+00    5.03571674e-04
 9.50117386e+00    3.97995486e-04
 9.51647637e+00    3.23252716e-04
 9.53177888e+00    2.69256964e-04
 9.54708138e+00    2.29427727e-04
